day	hour	value
1	1	0.0423490781276342
1	2	0.0000889536461810
1	3	0.5886954574491760
1	4	0.5247215854524170
1	5	0.1007280954116960
1	6	0.1007280954116960
1	7	0.0000000000000000
1	8	0.4659430809178060
1	9	0.5900925045627310
2	1	0.0796824190202713
2	2	0.0405915048477514
2	3	0.0000000000000001
2	4	0.0405915048477514
2	5	0.1716185497503750
2	6	0.2290969054993760
2	7	0.2724895009057140
2	8	0.1259519984003570
2	9	0.4248468908637760
3	1	0.1414607100208150
3	2	0.2658391412689030
3	3	0.1819386141077760
3	4	0.1936244439250350
3	5	0.1133229219364120
3	6	0.1671463774242250
3	7	0.2477651519681150
3	8	0.1385725659716670
3	9	0.6290000000000000
